arquivo;pasta;tipo_fractal;fractal_minutos;status;maior_criticidade;motivos;responsavel;acao_recomendada;linhas;colunas;data_inicio;data_fim;ordem_temporal;timestamps_invalidos;duplicados;lacunas;ohlc_status;ohlc_problemas;volume_status;volume_negativo
WIN_12min_2026_2026.csv;012_12_MIN;INTRADAY;12;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;4349;21;21/01/2026 11:46:00;05/06/2026 18:24:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_15min_2026_2026.csv;015_15_MIN;INTRADAY;15;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;3469;21;21/01/2026 11:46:00;05/06/2026 18:15:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_20min_2026_2026.csv;020_20_MIN;INTRADAY;20;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;2647;21;21/01/2026 11:46:00;05/06/2026 18:20:00;CRESCENTE;0;0;2;OK;0;OK;0
WDO_30min_2014_2016.csv;030_30_MIN;INTRADAY;30;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;3665;9;05/03/2015 11:30:00;30/12/2015 17:00:00;DECRESCENTE;0;0;1;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_30min_2016_2018.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;7623;9;04/01/2016 09:00:00;28/12/2017 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_30min_2018_2020.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9021;9;02/01/2018 09:00:00;30/12/2019 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_30min_2020_2022.csv;030_30_MIN;INTRADAY;30;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;9079;9;02/01/2020 09:00:00;30/12/2021 17:30:00;DECRESCENTE;0;0;1;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_30min_2022_2024.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9118;9;03/01/2022 09:00:00;28/12/2023 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_30min_2024_2026.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9501;9;02/01/2024 09:00:00;30/12/2025 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_30min_2026_2026.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;1986;9;02/01/2026 09:00:00;05/06/2026 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2012_2014.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;6767;9;14/06/2012 14:30:00;30/12/2013 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2014_2016.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;8859;9;02/01/2014 09:00:00;30/12/2015 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2016_2018.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;8645;9;04/01/2016 09:00:00;28/12/2017 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2018_2020.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9021;9;02/01/2018 09:00:00;30/12/2019 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2020_2022.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9080;9;02/01/2020 09:00:00;30/12/2021 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2022_2024.csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9118;9;03/01/2022 09:00:00;28/12/2023 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2026_2026 (2).csv;030_30_MIN;INTRADAY;30;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;1986;9;02/01/2026 09:00:00;05/06/2026 17:30:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_30min_2026_2026.csv;030_30_MIN;INTRADAY;30;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;1735;21;21/01/2026 11:46:00;05/06/2026 18:00:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_45min_2026_2026.csv;045_45_MIN;INTRADAY;45;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;1187;21;21/01/2026 11:46:00;05/06/2026 18:00:00;CRESCENTE;0;0;2;OK;0;OK;0
WDO_60MIN_2012_2014.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4424;9;02/01/2014 09:00:00;30/12/2015 16:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2014_2016.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4424;9;02/01/2014 09:00:00;30/12/2015 16:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2016_2018.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;3887;9;04/01/2016 09:00:00;28/12/2017 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2018_2020.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4592;9;02/01/2018 09:00:00;30/12/2019 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2020_2022.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4624;9;02/01/2020 09:00:00;30/12/2021 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2022_2024.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4644;9;03/01/2022 09:00:00;28/12/2023 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2024_2026.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;5000;9;02/01/2024 09:00:00;30/12/2025 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_60min_2026_2026.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;1045;9;02/01/2026 09:00:00;05/06/2026 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2012_2014.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;3783;9;18/04/2012 09:00:00;30/12/2013 16:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2014_2016.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4434;9;02/01/2014 09:00:00;30/12/2015 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2016_2018.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4414;9;04/01/2016 09:00:00;28/12/2017 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2018_2020.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4592;9;02/01/2018 09:00:00;30/12/2019 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2020_2022.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4624;9;02/01/2020 09:00:00;30/12/2021 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2022_2024.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;4644;9;03/01/2022 09:00:00;28/12/2023 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2024_2026.csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;5001;9;02/01/2024 09:00:00;30/12/2025 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2026_2026 (2).csv;060_60_MIN;INTRADAY;60;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;1045;9;02/01/2026 09:00:00;05/06/2026 17:00:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_60min_2026_2026.csv;060_60_MIN;INTRADAY;60;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;913;21;21/01/2026 11:46:00;05/06/2026 18:00:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_90min_2026_2026.csv;090_90_MIN;INTRADAY;90;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;639;21;21/01/2026 11:46:00;05/06/2026 18:00:00;CRESCENTE;0;0;2;OK;0;OK;0
