fractal_pasta;fractal_detectado;ativo;arquivo;caminho;linhas;data_inicio;data_fim;colunas;status;observacao
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2017_2019.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WIN_DIARIO_2017_2019.csv;491;02/01/2017;28/12/2018;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2005_2006.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2005_2006.csv;404;17/05/2005;28/12/2006;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2007_2008.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2007_2008.csv;245;02/01/2007;28/12/2007;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2008_2009.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2008_2009.csv;249;02/01/2008;30/12/2008;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2009_2010.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2009_2010.csv;493;02/01/2009;30/12/2010;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2010_2011.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2010_2011.csv;247;04/01/2010;30/12/2010;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2011_2013.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2011_2013.csv;495;03/01/2011;28/12/2012;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2013_2015.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2013_2015.csv;496;02/01/2013;30/12/2014;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2015_2017.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2015_2017.csv;495;02/01/2015;29/12/2016;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2019_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2019_2020.csv;248;02/01/2019;30/12/2019;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2020_2022.csv;496;02/01/2020;30/12/2021;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2022_2024.csv;498;03/01/2022;28/12/2023;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2024_2026.csv;501;02/01/2024;30/12/2025;8;OK;
09_DIARIO;DIARIO;WIN;WIN_DIARIO_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2026_2026.csv;105;02/01/2026;05/06/2026;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2009_2011.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2009_2011.csv;104;05/01/2009;27/12/2010;8;OK;
