arquivo;tipo_problema;gravidade;detalhe
cobertura_temporal.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
cobertura_temporal.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
contexto_historiador.csv;ATIVO_DESCONHECIDO;MEDIA;ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
contexto_historiador.csv;FRACTAL_DESCONHECIDO;MEDIA;ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
contexto_historiador.csv;STATUS_NAO_OK;MEDIA;ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
contexto_historiador.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
distribuicao_fractais.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
distribuicao_fractais.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
distribuicao_fractais.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
distribuicao_fractais.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
estatistica_biblioteca.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_biblioteca.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_biblioteca.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_biblioteca.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
estatistica_delta.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_delta.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_delta.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_delta.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
estatistica_volume.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_volume.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_volume.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
estatistica_volume.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
auditoria_pastas_temporais_20260612_215919.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: ac65ac521938f103681431fd429b0cf2
auditoria_pastas_temporais_20260613_211018.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: ac65ac521938f103681431fd429b0cf2
duplicidades_fractais_20260612_200734.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_203011.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_204049.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_204345.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_210109.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_210609.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
WIN_120min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 015d34105ebe5e880e89f78a31cb62c1
WIN_180min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: e2e0ba42c36bf423e09681c2a33df556
WIN_240min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 58b2f4c50836bf7cec84c464f6ea7f5d
WDO_60MIN_2012_2014.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: f8726aa0ed61bade378127202e3502a3
WDO_60min_2014_2016.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: f8726aa0ed61bade378127202e3502a3
WIN_120min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 015d34105ebe5e880e89f78a31cb62c1
WIN_180min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: e2e0ba42c36bf423e09681c2a33df556
WIN_240min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 58b2f4c50836bf7cec84c464f6ea7f5d
WINFUT_F_0_Semanal.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 67c73f0bba945e363f81c8e4147a2cd5
WIN_Semanal_2005_2007.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 67c73f0bba945e363f81c8e4147a2cd5
