data_hora;pasta_base;fractal_pasta;arquivo;ativo_nome;caminho;status;problemas
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2024_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2024_2026.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_120min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\win\WIN_120min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;180_180_MIN;180_MIN;WIN_180min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\180_180_MIN\win\WIN_180min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;240_240_MIN;240_MIN;WIN_240min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\240_240_MIN\win\WIN_240min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;M01_MENSAL;MENSAL;WDOFUT_F_0_Semanal.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\M01_MENSAL\WDOFUT_F_0_Semanal.csv;OK;NENHUM
17/06/2026 00:44:48;M01_MENSAL;MENSAL;WINFUT_F_0_Semanal.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\M01_MENSAL\WINFUT_F_0_Semanal.csv;OK;NENHUM
17/06/2026 00:44:48;S01_SEMANAL;SEMANAL;WDO_SEMANAL_2009_2011.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\S01_SEMANAL\wdo\WDO_SEMANAL_2009_2011.csv;OK;NENHUM
17/06/2026 00:44:48;S01_SEMANAL;SEMANAL;WDO_SEMANAL_2011_2013.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\S01_SEMANAL\wdo\WDO_SEMANAL_2011_2013.csv;OK;NENHUM
17/06/2026 00:44:48;S01_SEMANAL;SEMANAL;WDO_SEMANAL_2013_2015.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\S01_SEMANAL\wdo\WDO_SEMANAL_2013_2015.csv;OK;NENHUM
