origem;tipo_origem;destino;tipo_destino;relacao;peso;detalhe
WDO_30min_2016_2018.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_30min_2016_2018.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_30min_2016_2018.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_30min_2018_2020.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_30min_2018_2020.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_30min_2018_2020.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_30min_2020_2022.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_30min_2020_2022.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_30min_2020_2022.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_30min_2022_2024.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_30min_2022_2024.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_30min_2022_2024.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_30min_2024_2026.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_30min_2024_2026.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_30min_2024_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_30min_2026_2026.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_30min_2026_2026.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_30min_2026_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_30min_2012_2014.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_30min_2012_2014.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_30min_2012_2014.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_30min_2014_2016.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_30min_2014_2016.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_30min_2014_2016.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_30min_2016_2018.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_30min_2016_2018.csv;ARQUIVO;30_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
